Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3165276,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2007,,,,,,,83.5 [83.5-83.6],83.49714871,83.48983,83.57564761,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
3165297,WHOSIS_000001,COUNTRY,WSM,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2003,,,,,,,70.1 [69.5-70.7],70.05898224,69.4545872,70.73275323,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
3166152,WHOSIS_000001,COUNTRY,SLB,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2013,,,,,,,67.5 [66.8-68.5],67.50505137,66.80325248,68.48797969,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3166948,WHOSIS_000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2003,,,,,,,66.8 [66.5-67.3],66.7835174,66.4685993,67.34224641,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
3167211,WHOSIS_000001,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2020,,,,,,,73.8 [73.5-74.2],73.81604113,73.45771513,74.17657939,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3167219,WHOSIS_000001,COUNTRY,SLE,YEAR,AFR,Africa,SEX,SEX_MLE,2015,,,,,,,56.1 [54.9-57.4],56.09732617,54.88777522,57.37679903,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3167772,WHOSIS_000001,COUNTRY,KHM,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2019,,,,,,,69.6 [69.0-70.2],69.55846339,68.98544713,70.23823484,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3168553,WHOSIS_000001,COUNTRY,BLZ,YEAR,AMR,Americas,SEX,SEX_MLE,2020,,,,,,,72.9 [72.7-73.2],72.8751564,72.65094747,73.1865236,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3169011,WHOSIS_000001,COUNTRY,TKM,YEAR,EUR,Europe,SEX,SEX_BTSX,2011,,,,,,,69.2 [68.9-69.7],69.23413358,68.85789112,69.69258975,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3169923,WHOSIS_000001,COUNTRY,GRD,YEAR,AMR,Americas,SEX,SEX_BTSX,2014,,,,,,,72.5 [72.3-72.9],72.54366171,72.29386142,72.86647714,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
