SpatialDimType,SpatialDim,Dim1,TimeDim,NumericValue
COUNTRY,DNK,Female,2021,82.90091898
COUNTRY,WSM,Both,2004,70.17537437
COUNTRY,ITA,Both,2020,81.93997914
COUNTRY,LKA,Female,2018,80.0942993
COUNTRY,HND,Female,2015,71.88743309
COUNTRY,TUN,Both,2003,74.95127697
COUNTRY,STP,Female,2013,71.2969833
COUNTRY,PRI,Male,2000,72.51242605
COUNTRY,MDA,Both,2005,65.99301769
COUNTRY,NGA,Male,2014,59.79643643
COUNTRY,MEX,Both,2005,74.92683948
COUNTRY,ISR,Both,2005,79.7067797
COUNTRY,DZA,Male,2014,75.63397737
COUNTRY,BEN,Female,2015,65.04980155
COUNTRY,CPV,Female,2019,78.2256663
COUNTRY,HRV,Both,2000,74.75166907
COUNTRY,LVA,Female,2016,79.53983969
COUNTRY,NIC,Male,2007,73.50420339
COUNTRY,TLS,Both,2017,68.23558592
COUNTRY,ZAF,Female,2018,68.30577323
COUNTRY,ATG,Female,2008,77.83750967
COUNTRY,ISL,Female,2008,83.00464044
COUNTRY,CUB,Female,2016,80.44307494
COUNTRY,ARG,Female,2021,77.57790712
COUNTRY,TTO,Both,2015,74.35412517
COUNTRY,CPV,Both,2017,74.91155361
COUNTRY,SOM,Both,2011,43.81163424
COUNTRY,KGZ,Female,2003,69.62683177
COUNTRY,MDV,Female,2001,71.62027926
COUNTRY,VCT,Both,2021,72.55709418
COUNTRY,UKR,Both,2005,67.10598289
COUNTRY,GIN,Male,2004,55.13946791
COUNTRY,JPN,Male,2019,81.70268397
COUNTRY,SWE,Both,2002,79.75650347
COUNTRY,MNG,Both,2017,70.09899409
COUNTRY,ARG,Both,2010,75.76938267
COUNTRY,AFG,Male,2020,59.33504278
COUNTRY,UKR,Female,2014,76.08664407
REGION,EMR,Male,2015,67.30536851
COUNTRY,MRT,Female,2005,65.8514167
COUNTRY,AGO,Both,2006,54.27926946
COUNTRY,TJK,Both,2007,68.67357175
COUNTRY,KGZ,Both,2010,69.19156126
COUNTRY,FSM,Both,2014,65.26774587
COUNTRY,ZMB,Female,2007,55.41324286
COUNTRY,TGO,Female,2006,59.54333401
COUNTRY,CZE,Female,2021,80.27144322
COUNTRY,UGA,Female,2010,62.46339418
REGION,EMR,Both,2009,67.91200906
COUNTRY,LSO,Male,2000,45.23170128
WORLDBANKINCOMEGROUP,WB_UMI,Female,2002,73.17163719
COUNTRY,GTM,Female,2013,74.58931208
COUNTRY,SVN,Male,2013,77.05802098
COUNTRY,PAN,Both,2003,76.1866534
COUNTRY,MDA,Female,2002,70.01193106
COUNTRY,VEN,Both,2009,74.56885736
COUNTRY,AUT,Female,2021,83.30324613
COUNTRY,BEN,Female,2017,65.75690777
COUNTRY,LUX,Male,2008,78.15724025
